
  --------------------------------------------------------------------------------------
 		ID		 Number of packets 	Trust Value
  ----------------------------------------------------------------------------------------

		1		144		1
		2		818		8
		3		749		1
		4		732		3
		5		552		2
		6		682		10
		7		315		2
		8		237		10
		9		316		5
		10		82		8
		11		166		3
		12		578		8
		13		739		6
		14		783		2
		15		519		1
		16		630		9
		17		246		6
		18		197		10
		19		111		9
		20		222		4
		21		633		1
		22		282		9
		23		641		10
		24		359		10
		25		441		3
		26		364		1
		27		404		6
		28		502		6
		29		568		2
		30		582		5
		31		485		9
		32		598		1
		33		757		1
		34		847		3
		35		851		3
		36		708		4
		37		734		4
		0		144		1
		2		685		4
		3		625		5
		4		590		9
		5		434		9
		6		552		6
		7		225		3
		8		311		4
		9		271		9
		10		106		4
		11		128		7
		12		450		2
		13		604		10
		14		642		1
		15		381		6
		16		488		7
		17		135		9
		18		207		5
		19		206		2
		20		166		3
		21		497		10
		22		301		1
		23		522		9
		24		215		9
		25		379		3
		26		348		1
		27		418		1
		28		520		7
		29		566		8
		30		550		5
		31		457		2
		32		504		2
		33		646		9
		34		747		10
		35		770		2
		36		642		1
		37		643		3
		0		818		2
		1		685		4
		3		118		7
		4		181		7
		5		290		8
		6		142		4
		7		532		10
		8		836		5
		9		602		7
		10		745		8
		11		675		3
		12		242		9
		13		81		8
		14		111		10
		15		306		1
		16		241		4
		17		574		10
		18		715		9
		19		819		3
		20		631		9
		21		190		9
		22		731		8
		23		219		4
		24		502		5
		25		524		6
		26		655		6
		27		743		1
		28		788		4
		29		742		1
		30		625		6
		31		624		9
		32		355		5
		33		224		3
		34		321		6
		35		452		2
		36		493		8
		37		360		4
		0		749		1
		1		625		6
		2		118		7
		4		244		10
		5		200		10
		6		84		5
		7		447		10
		8		742		6
		9		506		1
		10		673		2
		11		596		6
		12		177		4
		13		110		10
		14		197		7
		15		270		4
		16		257		6
		17		503		6
		18		627		1
		19		737		2
		20		548		2
		21		173		2
		22		633		3
		23		115		4
		24		468		4
		25		417		7
		26		551		5
		27		635		1
		28		674		6
		29		626		2
		30		508		2
		31		511		10
		32		240		5
		33		115		10
		34		231		5
		35		352		2
		36		377		2
		37		246		10
		0		732		4
		1		590		10
		2		181		4
		3		244		7
		5		301		3
		6		190		7
		7		492		10
		8		800		1
		9		582		7
		10		670		1
		11		613		4
		12		226		5
		13		134		6
		14		75		4
		15		222		6
		16		102		10
		17		504		10
		18		671		9
		19		756		3
		20		580		3
		21		138		10
		22		710		6
		23		277		6
		24		383		2
		25		540		7
		26		655		10
		27		751		1
		28		816		2
		29		789		5
		30		684		3
		31		657		10
		32		419		5
		33		356		9
		34		475		2
		35		594		9
		36		595		6
		37		477		10
		0		552		10
		1		434		5
		2		290		6
		3		200		6
		4		301		3
		6		149		4
		7		247		2
		8		546		1
		9		311		6
		10		474		8
		11		396		10
		12		75		3
		13		226		2
		14		305		8
		15		152		7
		16		239		6
		17		306		3
		18		428		3
		19		537		7
		20		348		4
		21		163		3
		22		440		10
		23		88		4
		24		311		4
		25		243		8
		26		368		10
		27		460		5
		28		517		1
		29		488		9
		30		385		3
		31		356		3
		32		138		2
		33		214		3
		34		328		3
		35		392		6
		36		329		10
		37		254		7
		0		682		2
		1		552		3
		2		142		5
		3		84		6
		4		190		7
		5		149		7
		7		390		4
		8		694		6
		9		460		10
		10		607		9
		11		534		9
		12		103		4
		13		79		3
		14		168		4
		15		187		1
		16		179		4
		17		436		6
		18		573		2
		19		678		8
		20		490		10
		21		91		3
		22		590		2
		23		92		5
		24		386		10
		25		389		4
		26		517		10
		27		607		7
		28		658		3
		29		620		9
		30		508		1
		31		495		3
		32		237		6
		33		176		10
		34		301		6
		35		410		1
		36		405		1
		37		288		8
		0		315		3
		1		225		1
		2		532		8
		3		447		8
		4		492		3
		5		247		8
		6		390		4
		8		309		10
		9		102		8
		10		233		10
		11		152		1
		12		291		9
		13		459		7
		14		522		10
		15		271		6
		16		398		5
		17		93		7
		18		183		9
		19		290		2
		20		101		9
		21		365		9
		22		220		9
		23		334		7
		24		242		1
		25		162		1
		26		192		6
		27		289		10
		28		378		8
		29		395		9
		30		347		4
		31		264		6
		32		284		2
		33		443		1
		34		532		1
		35		546		3
		36		418		1
		37		422		3
		0		237		2
		1		311		2
		2		836		5
		3		742		6
		4		800		6
		5		546		5
		6		694		7
		7		309		5
		9		236		5
		10		208		4
		11		207		8
		12		599		1
		13		766		10
		14		832		1
		15		578		3
		16		704		6
		17		309		2
		18		131		5
		19		126		6
		20		223		10
		21		675		7
		22		115		8
		23		627		5
		24		488		2
		25		344		5
		26		216		7
		27		201		7
		28		285		1
		29		365		2
		30		416		2
		31		326		1
		32		534		7
		33		713		6
		34		772		1
		35		739		5
		36		581		1
		37		648		6
		0		316		6
		1		271		4
		2		602		6
		3		506		1
		4		582		6
		5		311		4
		6		460		7
		7		102		7
		8		236		8
		10		237		10
		11		156		8
		12		369		5
		13		535		5
		14		606		8
		15		365		10
		16		492		3
		17		168		3
		18		134		5
		19		256		9
		20		105		2
		21		450		5
		22		129		8
		23		391		1
		24		340		3
		25		126		1
		26		91		8
		27		186		7
		28		278		10
		29		304		5
		30		279		7
		31		185		3
		32		304		8
		33		479		7
		34		549		10
		35		538		1
		36		391		3
		37		429		10
		0		82		8
		1		106		7
		2		745		1
		3		673		9
		4		670		9
		5		474		7
		6		607		10
		7		233		7
		8		208		1
		9		237		4
		11		84		3
		12		504		7
		13		667		3
		14		716		6
		15		451		7
		16		568		2
		17		171		7
		18		128		2
		19		100		4
		20		140		6
		21		564		4
		22		221		8
		23		562		2
		24		310		9
		25		360		6
		26		292		4
		27		343		8
		28		444		2
		29		503		2
		30		508		2
		31		411		7
		32		516		10
		33		676		3
		34		765		8
		35		769		1
		36		628		4
		37		652		3
		0		166		5
		1		128		5
		2		675		8
		3		596		8
		4		613		6
		5		396		7
		6		534		10
		7		152		1
		8		207		5
		9		156		10
		10		84		5
		12		433		6
		13		599		3
		14		653		4
		15		391		8
		16		513		3
		17		108		1
		18		84		3
		19		144		3
		20		55		9
		21		498		1
		22		174		6
		23		484		2
		24		280		7
		25		277		1
		26		222		5
		27		290		7
		28		392		3
		29		440		9
		30		433		8
		31		337		7
		32		432		9
		33		595		9
		34		681		10
		35		685		7
		36		545		4
		37		567		10
		0		578		6
		1		450		9
		2		242		9
		3		177		10
		4		226		8
		5		75		9
		6		103		5
		7		291		3
		8		599		8
		9		369		3
		10		504		10
		11		433		2
		13		167		4
		14		237		10
		15		102		10
		16		165		8
		17		333		3
		18		475		3
		19		577		7
		20		389		7
		21		88		8
		22		499		3
		23		99		8
		24		293		10
		25		314		4
		26		434		8
		27		528		2
		28		589		9
		29		563		2
		30		460		6
		31		430		6
		32		207		9
		33		232		4
		34		356		5
		35		440		2
		36		396		10
		37		305		9
		0		739		2
		1		604		2
		2		81		9
		3		110		7
		4		134		7
		5		226		10
		6		79		10
		7		459		5
		8		766		5
		9		535		5
		10		667		8
		11		599		1
		12		167		3
		14		92		5
		15		225		2
		16		166		1
		17		496		1
		18		643		3
		19		743		8
		20		557		6
		21		109		9
		22		664		1
		23		170		9
		24		421		4
		25		467		1
		26		594		8
		27		686		6
		28		737		9
		29		699		2
		30		586		3
		31		575		9
		32		315		6
		33		224		4
		34		341		4
		35		462		7
		36		475		7
		37		351		9
		0		783		8
		1		642		4
		2		111		8
		3		197		7
		4		75		7
		5		305		2
		6		168		7
		7		522		9
		8		832		5
		9		606		10
		10		716		2
		11		653		4
		12		237		7
		13		92		7
		15		264		4
		16		161		3
		17		547		2
		18		705		7
		19		798		5
		20		616		9
		21		156		9
		22		735		7
		23		260		10
		24		443		2
		25		549		10
		26		671		1
		27		765		5
		28		822		9
		29		787		3
		30		676		5
		31		660		5
		32		405		7
		33		312		5
		34		422		1
		35		548		5
		36		568		3
		37		442		3
		0		519		5
		1		381		4
		2		306		2
		3		270		10
		4		222		10
		5		152		7
		6		187		1
		7		271		9
		8		578		6
		9		365		2
		10		451		6
		11		391		6
		12		102		4
		13		225		9
		14		264		8
		16		127		8
		17		283		10
		18		448		4
		19		535		6
		20		357		6
		21		116		10
		22		490		6
		23		202		8
		24		199		5
		25		346		6
		26		444		1
		27		543		7
		28		617		2
		29		606		3
		30		516		2
		31		468		7
		32		290		5
		33		335		1
		34		459		5
		35		539		8
		36		481		6
		37		403		6
		0		630		10
		1		488		7
		2		241		10
		3		257		5
		4		102		10
		5		239		3
		6		179		5
		7		398		5
		8		704		3
		9		492		10
		10		568		6
		11		513		1
		12		165		10
		13		166		1
		14		161		7
		15		127		6
		17		404		5
		18		574		4
		19		656		3
		20		482		6
		21		92		3
		22		618		1
		23		245		2
		24		282		9
		25		464		1
		26		570		5
		27		668		4
		28		739		6
		29		721		10
		30		623		4
		31		585		1
		32		372		9
		33		355		2
		34		481		10
		35		585		7
		36		559		1
		37		457		2
		0		246		6
		1		135		1
		2		574		1
		3		503		3
		4		504		5
		5		306		10
		6		436		2
		7		93		4
		8		309		3
		9		168		1
		10		171		4
		11		108		9
		12		333		2
		13		496		8
		14		547		8
		15		283		2
		16		404		6
		18		178		5
		19		252		2
		20		90		5
		21		393		2
		22		249		1
		23		395		1
		24		184		6
		25		254		2
		26		257		10
		27		346		5
		28		443		7
		29		472		8
		30		436		3
		31		348		9
		32		368		7
		33		515		6
		34		613		8
		35		636		6
		36		511		6
		37		508		2
		0		197		9
		1		207		10
		2		715		6
		3		627		4
		4		671		3
		5		428		7
		6		573		10
		7		183		6
		8		131		1
		9		134		6
		10		128		2
		11		84		6
		12		475		6
		13		643		8
		14		705		10
		15		448		5
		16		574		6
		17		178		9
		19		121		1
		20		91		8
		21		548		2
		22		95		10
		23		512		8
		24		359		10
		25		259		6
		26		167		5
		27		216		1
		28		317		3
		29		374		3
		30		386		8
